word,good,bad
clomp,5120,156
stamp,5119,157
stomp,5116,160
cramp,5112,164
tromp,5109,167
blimp,5108,168
tramp,5100,176
crump,5098,178
trump,5098,178
crimp,5096,180
scamp,5094,182
march,5093,183
sperm,5093,183
clamp,5091,185
lymph,5089,187
nymph,5089,187
parch,5089,187
plumb,5089,187
proms,5089,187
thumb,5089,187
charm,5088,188
sprit,5088,188
strap,5087,189
strep,5086,190
campo,5085,191
maple,5085,191
clump,5084,192
staph,5084,192
swamp,5084,192
thump,5084,192
print,5083,193
prong,5083,193
frump,5082,194
moped,5082,194
perch,5082,194
thong,5082,194
mulct,5081,195
splat,5081,195
blend,5080,196
camps,5080,196
crept,5080,196
impel,5080,196
scrap,5080,196
whipt,5080,196
cleft,5079,197
drown,5079,197
patch,5079,197
twang,5079,197
ample,5078,198
champ,5078,198
impro,5078,198
morph,5078,198
palms,5078,198
scalp,5078,198
tamps,5078,198
carom,5077,199
natch,5077,199
ambit,5076,200
crypt,5076,200
lamps,5076,200
brent,5075,201
filth,5075,201
perms,5075,201
prowl,5075,201
romps,5075,201
swept,5075,201
berth,5074,202
brawn,5074,202
chomp,5074,202
crumb,5074,202
brant,5073,203
chant,5073,203
padre,5073,203
palmy,5073,203
temps,5073,203
thwap,5073,203
blown,5072,204
carob,5072,204
flirt,5072,204
grump,5072,204
pilot,5072,204
primo,5072,204
spelt,5072,204
split,5072,204
carpy,5070,206
latch,5070,206
limbo,5070,206
mirth,5070,206
shlep,5070,206
throb,5070,206
batch,5069,207
psalm,5069,207
sprat,5069,207
tempi,5069,207
therm,5069,207
blond,5068,208
clops,5068,208
dwarf,5068,208
motel,5068,208
picot,5068,208
pleat,5068,208
remap,5068,208
spang,5068,208
twerp,5068,208
baton,5067,209
chump,5067,209
comps,5067,209
forma,5067,209
smack,5067,209
strop,5067,209
twirp,5067,209
blame,5066,210
epact,5066,210
prawn,5066,210
prick,5066,210
probe,5066,210
sylph,5066,210
whelm,5066,210
amply,5065,211
apron,5065,211
bland,5065,211
firth,5065,211
lambs,5065,211
notch,5065,211
ramps,5065,211
smock,5065,211
spawn,5065,211
tempo,5065,211
balms,5064,212
baron,5064,212
chimp,5064,212
damps,5064,212
delft,5064,212
grift,5064,212
milch,5064,212
plant,5545,212
plots,5064,212
scant,5064,212
welch,5064,212
bronc,5063,213
copra,5063,213
franc,5063,213
ftped,5063,213
pride,5063,213
retch,5063,213
spilt,5063,213
