word,good,bad
flash,2311,5
blast,2310,6
black,2309,7
brawl,2309,7
clash,2309,7
lapse,2309,7
plaid,2309,7
prawn,2309,7
shawl,2309,7
spend,2309,7
swamp,2309,7
bland,2308,8
climb,2308,8
crowd,2308,8
crump,2308,8
gland,2308,8
palsy,2308,8
panic,2308,8
plumb,2308,8
prowl,2308,8
recap,2308,8
spawn,2308,8
splat,2308,8
basil,2307,9
caper,2307,9
clamp,2307,9
ripen,2307,9
scald,2307,9
scaly,2307,9
sloth,2307,9
smack,2307,9
abled,2306,10
admin,2306,10
bacon,2306,10
belch,2306,10
blame,2306,10
block,2306,10
cabin,2306,10
clang,2306,10
clasp,2306,10
cream,2306,10
crumb,2306,10
flack,2306,10
growl,2306,10
marsh,2306,10
plush,2306,10
pound,2306,10
power,2306,10
rehab,2306,10
rowdy,2306,10
shalt,2306,10
slope,2306,10
slurp,2306,10
space,2306,10
spade,2306,10
spank,2306,10
spare,2306,10
speak,2306,10
sword,2306,10
baler,2305,11
batch,2305,11
bawdy,2305,11
blade,2305,11
blond,2305,11
chasm,2305,11
comfy,2305,11
croup,2305,11
flank,2305,11
fleck,2305,11
labor,2305,11
later,2305,11
mason,2305,11
match,2305,11
parse,2305,11
party,2305,11
rabid,2305,11
ralph,2305,11
randy,2305,11
rapid,2305,11
reach,2305,11
sadly,2305,11
salad,2305,11
salon,2305,11
scalp,2305,11
scamp,2305,11
scuba,2305,11
shape,2305,11
slack,2305,11
slash,2305,11
snarl,2305,11
spear,2305,11
spoil,2305,11
spurt,2305,11
sumac,2305,11
swept,2305,11
tawny,2305,11
trawl,2305,11
trump,2305,11
worse,2305,11
basin,2304,12
blend,2304,12
blimp,2304,12
blind,2304,12
brand,2304,12
brick,2304,12
cabal,2304,12
cable,2304,12
chain,2304,12
chalk,2304,12
champ,2304,12
clank,2304,12
class,2304,12
clown,2304,12
clump,2304,12
demon,2304,12
fable,2304,12
false,2304,12
flask,2304,12
glyph,2304,12
paste,2304,12
pearl,2304,12
pecan,2304,12
plain,2304,12
plant,2304,12
pluck,2304,12
porch,2304,12
prank,2304,12
prism,2304,12
prone,2304,12
psalm,2304,12
ranch,2304,12
reply,2304,12
scrap,2304,12
shock,2304,12
smock,2304,12
snack,2304,12
spied,2304,12
spiel,2304,12
spunk,2304,12
steam,2304,12
tepid,2304,12
tread,2304,12
trend,2304,12
world,2304,12
amend,2303,13
aptly,2303,13
bagel,2303,13
blurt,2303,13
botch,2303,13
brunt,2303,13
burst,2303,13
condo,2303,13
crawl,2303,13
dealt,2303,13
dowel,2303,13
drawn,2303,13
fecal,2303,13
flush,2303,13
front,2303,13
grape,2303,13
leapt,2303,13
manic,2303,13
manor,2303,13
mound,2303,13
nymph,2303,13
pedal,2303,13
place,2303,13
plead,2303,13
prong,2303,13
proof,2303,13
regal,2303,13
salty,2303,13
saucy,2303,13
scold,2303,13
scowl,2303,13
sepia,2303,13
shear,2303,13
slang,2303,13
smoke,2303,13
smote,2303,13
split,2303,13
spoke,2303,13
stomp,2303,13
tangy,2303,13
thumb,2303,13
tonic,2303,13
train,2303,13
trash,2303,13
twang,2303,13
waste,2303,13
welsh,2303,13
wordy,2303,13
adapt,2302,14
amble,2302,14
amply,2302,14
angst,2302,14
aping,2302,14
badge,2302,14
badly,2302,14
basal,2302,14
basic,2302,14
blank,2302,14
blush,2302,14
brief,2302,14
cadet,2302,14
cameo,2302,14
candy,2302,14
clued,2302,14
cobra,2302,14
copse,2302,14
crate,2302,14
crest,2302,14
crisp,2302,14
crown,2302,14
crush,2302,14
dance,2302,14
downy,2302,14
dowry,2302,14
dream,2302,14
dumpy,2302,14
dutch,2302,14
feral,2302,14
flock,2302,14
flown,2302,14
focal,2302,14
gulch,2302,14
impel,2302,14
least,2302,14
manly,2302,14
mower,2302,14
nasty,2302,14
pansy,2302,14
phone,2302,14
proud,2302,14
risen,2302,14
sandy,2302,14
scant,2302,14
scrum,2302,14
shall,2302,14
sharp,2302,14
shelf,2302,14
shown,2302,14
skate,2302,14
slept,2302,14
slick,2302,14
solid,2302,14
spelt,2302,14
spoon,2302,14
sport,2302,14
stalk,2302,14
steal,2302,14
storm,2302,14
stump,2302,14
swath,2302,14
table,2302,14
talon,2302,14
third,2302,14
trace,2302,14
trade,2302,14
tramp,2302,14
troop,2302,14
tulip,2302,14
twirl,2302,14
ultra,2302,14
watch,2302,14
wrong,2302,14
abhor,2301,15
apron,2301,15
artsy,2301,15
balmy,2301,15
beach,2301,15
beast,2301,15
bench,2301,15
bowel,2301,15
bread,2301,15
brush,2301,15
bunch,2301,15
cairn,2301,15
caput,2301,15
caulk,2301,15
chaos,2301,15
cheap,2301,15
chirp,2301,15
chump,2301,15
cloud,2301,15
craft,2301,15
crank,2301,15
crimp,2301,15
cruel,2301,15
crypt,2301,15
decal,2301,15
defer,2301,15
dopey,2301,15
doubt,2301,15
drape,2301,15
drawl,2301,15
drown,2301,15
dunce,2301,15
flame,2301,15
forum,2301,15
frame,2301,15
frown,2301,15
glade,2301,15
gleam,2301,15
grant,2301,15
grope,2301,15
group,2301,15
horde,2301,15
large,2301,15
latch,2301,15
leach,2301,15
limbo,2301,15
lymph,2301,15
madly,2301,15
march,2301,15
molar,2301,15
morph,2301,15
pagan,2301,15
paler,2301,15
panel,2301,15
pasty,2301,15
patch,2301,15
pause,2301,15
peach,2301,15
phase,2301,15
pilot,2301,15
plank,2301,15
polar,2301,15
probe,2301,15
prose,2301,15
pulse,2301,15
raspy,2301,15
react,2301,15
resin,2301,15
robin,2301,15
rocky,2301,15
salvo,2301,15
scary,2301,15
shame,2301,15
share,2301,15
shunt,2301,15
skimp,2301,15
slain,2301,15
slant,2301,15
slump,2301,15
small,2301,15
smart,2301,15
snail,2301,15
snoop,2301,15
snowy,2301,15
sound,2301,15
spark,2301,15
spasm,2301,15
speck,2301,15
spire,2301,15
spore,2301,15
sprig,2301,15
stand,2301,15
strap,2301,15
straw,2301,15
swami,2301,15
swear,2301,15
swirl,2301,15
sworn,2301,15
tacky,2301,15
tardy,2301,15
thump,2301,15
venom,2301,15
whelp,2301,15
whoop,2301,15
witch,2301,15
wound,2301,15
adept,2300,16
awful,2300,16
baste,2300,16
beard,2300,16
bicep,2300,16
bison,2300,16
bleak,2300,16
bleep,2300,16
blown,2300,16
boast,2300,16
brash,2300,16
broom,2300,16
burnt,2300,16
butch,2300,16
bylaw,2300,16
canoe,2300,16
chide,2300,16
clean,2300,16
clear,2300,16
clerk,2300,16
clink,2300,16
close,2300,16
crash,2300,16
cried,2300,16
crony,2300,16
crude,2300,16
crust,2300,16
denim,2300,16
depth,2300,16
donut,2300,16
draft,2300,16
dwelt,2300,16
eclat,2300,16
endow,2300,16
farce,2300,16
fetal,2300,16
fetch,2300,16
filet,2300,16
flesh,2300,16
forty,2300,16
frank,2300,16
freak,2300,16
freed,2300,16
frost,2300,16
gnome,2300,16
grand,2300,16
grasp,2300,16
heard,2300,16
idler,2300,16
inept,2300,16
laden,2300,16
lathe,2300,16
laugh,2300,16
leash,2300,16
lipid,2300,16
macro,2300,16
mangy,2300,16
mecca,2300,16
medic,2300,16
metro,2300,16
miser,2300,16
moldy,2300,16
munch,2300,16
ocean,2300,16
parer,2300,16
patsy,2300,16
pence,2300,16
petal,2300,16
pitch,2300,16
plait,2300,16
plane,2300,16
plied,2300,16
polka,2300,16
poser,2300,16
pried,2300,16
primo,2300,16
realm,2300,16
rearm,2300,16
rebel,2300,16
renal,2300,16
repel,2300,16
roast,2300,16
satyr,2300,16
scare,2300,16
scope,2300,16
scram,2300,16
sedan,2300,16
setup,2300,16
shack,2300,16
shaft,2300,16
shard,2300,16
shuck,2300,16
sinew,2300,16
sloop,2300,16
smith,2300,16
south,2300,16
speed,2300,16
spray,2300,16
spurn,2300,16
stake,2300,16
stamp,2300,16
steak,2300,16
strip,2300,16
swarm,2300,16
sweat,2300,16
swoop,2300,16
synod,2300,16
taper,2300,16
tapir,2300,16
tempo,2300,16
thick,2300,16
thrum,2300,16
torch,2300,16
torus,2300,16
track,2300,16
tripe,2300,16
trope,2300,16
welch,2300,16
wench,2300,16
wrest,2300,16
aback,2299,17
album,2299,17
angle,2299,17
antic,2299,17
arson,2299,17
baron,2299,17
baton,2299,17
beady,2299,17
berth,2299,17
blare,2299,17
blaze,2299,17
bless,2299,17
bloat,2299,17
blunt,2299,17
board,2299,17
bosom,2299,17
brain,2299,17
brown,2299,17
cacti,2299,17
carve,2299,17
caste,2299,17
chant,2299,17
child,2299,17
china,2299,17
chunk,2299,17
clack,2299,17
claim,2299,17
cleat,2299,17
cleft,2299,17
clone,2299,17
cloth,2299,17
could,2299,17
cramp,2299,17
crook,2299,17
daily,2299,17
decor,2299,17
delta,2299,17
disco,2299,17
ditch,2299,17
droll,2299,17
drunk,2299,17
edict,2299,17
elbow,2299,17
epoch,2299,17
facet,2299,17
fancy,2299,17
fault,2299,17
filth,2299,17
final,2299,17
first,2299,17
flunk,2299,17
fried,2299,17
frock,2299,17
frond,2299,17
gawky,2299,17
glass,2299,17
glory,2299,17
great,2299,17
lower,2299,17
lucid,2299,17
lynch,2299,17
magic,2299,17
model,2299,17
month,2299,17
motif,2299,17
mulch,2299,17
nadir,2299,17
notch,2299,17
often,2299,17
patty,2299,17
payer,2299,17
penal,2299,17
pinch,2299,17
plaza,2299,17
pleat,2299,17
plume,2299,17
poesy,2299,17
pride,2299,17
punch,2299,17
ramen,2299,17
recut,2299,17
